question_id,question,expected_document,category,is_out_of_scope,search_success,retrieved_top1,retrieved_sources,hit_at_1,hit_at_5,chat_success,answer_preview,refused,source_match,error_category
16,What information must I provide for international remote work?,HR_Remote_Work_Policy,Semantic,False,True,HR_Remote_Work_Policy.pdf,HR_Remote_Work_Policy.pdf|Legal_Privacy_Notice_Internal.pdf|HR_Employee_Handbook.pdf|Security_Password_and_MFA_Policy.pdf|Legal_GDPR_Employee_Data_Guide.pdf,True,True,True,"Based on HR_Remote_Work_Policy.pdf, HR Remote Work Policy Internal document • Version 1.0 • 2026-02-04 1. Purpose This policy defines how employees of SiftOps Labs may work remotely while maintaining ",False,True,Correct
17,What are the MFA requirements?,Security_Password_and_MFA_Policy,Acronym,False,True,Security_Password_and_MFA_Policy.pdf,Security_Password_and_MFA_Policy.pdf|Finance_Approval_Matrix.pdf|Finance_Procurement_Policy.pdf|IT_Onboarding_Offboarding_Runbook.pdf|HR_Remote_Work_Policy.pdf,True,True,True,"Based on Security_Password_and_MFA_Policy.pdf, Password & MFA Policy Internal document • Version 1.0 • 2026-02-04 1. Passphrases All user accounts must use a passphrase of at least 14 characters. 2. R",False,True,Correct
18,What does GDPR say about sharing employee data?,Legal_GDPR_Employee_Data_Guide,Acronym,False,True,Legal_GDPR_Employee_Data_Guide.pdf,Legal_GDPR_Employee_Data_Guide.pdf|Legal_Privacy_Notice_Internal.pdf|Security_Data_Classification_Standard.pdf|HR_Employee_Handbook.pdf|Security_Password_and_MFA_Policy.pdf,True,True,True,"Based on Legal_GDPR_Employee_Data_Guide.pdf, GDPR Guide for Employee Data Internal document • Version 1.0 • 2026-02-04 1. Principles • Lawfulness, fairness, transparency • Purpose limitation • Data mi",False,True,Correct
19,How do I request PTO?,HR_Leave_and_Absence_Policy,Acronym,False,True,HR_Leave_and_Absence_Policy.pdf,HR_Leave_and_Absence_Policy.pdf|Finance_Invoice_Processing_SOP.pdf|HR_Remote_Work_Policy.pdf|Support_Triage_Playbook.pdf|IT_Onboarding_Offboarding_Runbook.pdf,True,True,True,"Based on HR_Leave_and_Absence_Policy.pdf, HR Leave and Absence Policy Internal document • Version 1.0 • 2026-02-04 1. Overview This policy outlines paid time off (PTO), sick leave, and leave of absenc",False,True,Correct
20,When is a PO number required?,Finance_Invoice_Processing_SOP,Acronym,False,True,Finance_Invoice_Processing_SOP.pdf,Finance_Invoice_Processing_SOP.pdf|Finance_Vendor_Onboarding.pdf|Support_Triage_Playbook.pdf|Legal_Privacy_Notice_Internal.pdf|Security_Data_Classification_Standard.pdf,True,True,True,"Based on Finance_Invoice_Processing_SOP.pdf, Invoice Processing SOP Internal document • Version 1.0 • 2026-02-04 1. Intake Invoices must be submitted to the accounts inbox with PO number when applicab",False,True,Correct
21,What is the SLA for a P1 issue?,Support_SLAs_and_Escalation,Acronym,False,True,Support_SLAs_and_Escalation.pdf,Support_SLAs_and_Escalation.pdf|Support_Triage_Playbook.pdf|IT_Onboarding_Offboarding_Runbook.pdf|Security_Incident_Response_Playbook.pdf|Product_Roadmap_Q1_2026.pdf,True,True,True,"Based on Support_SLAs_and_Escalation.pdf, Support SLAs & Escalation Internal document • Version 1.0 • 2026-02-04 1. SLA Targets • P1: first response within 1 hour • P2: first response within 4 hours •",False,True,Correct
22,I want to spend €6000. Who must approve it?,Finance_Approval_Matrix + Finance_Procurement_Policy,Reasoning,False,True,Finance_Approval_Matrix.pdf,Finance_Approval_Matrix.pdf|Finance_Travel_Policy.pdf|Finance_Vendor_Onboarding.pdf|Finance_Expenses_Policy.pdf|Finance_Procurement_Policy.pdf,False,False,True,"Based on Finance_Approval_Matrix.pdf, Approval Matrix Internal document • Version 1.0 • 2026-02-04 1. Summary This document summarizes who can approve which categories of spend and access. 2. Spend • ",False,False,Retrieval Failure
23,Can a contractor keep system access after the contract ends?,HR_Contractor_Policy,Reasoning,False,True,HR_Contractor_Policy.pdf,HR_Contractor_Policy.pdf|Legal_Data_Retention_Policy.pdf|IT_Device_Management_Policy.pdf|IT_Onboarding_Offboarding_Runbook.pdf|Legal_Contracting_Playbook.pdf,True,True,True,"Based on HR_Contractor_Policy.pdf, Contractor Policy Internal document • Version 1.0 • 2026-02-04 1. Scope This policy covers onboarding, access, and confidentiality expectations for contractors. 2. A",False,True,Correct
24,What approvals are needed for administrative access costing €300?,Finance_Approval_Matrix,Reasoning,False,True,Finance_Approval_Matrix.pdf,Finance_Approval_Matrix.pdf|Finance_Procurement_Policy.pdf|Support_Triage_Playbook.pdf|Finance_Expenses_Policy.pdf|Security_Access_Control_Policy.pdf,True,True,True,"Based on Finance_Approval_Matrix.pdf, Approval Matrix Internal document • Version 1.0 • 2026-02-04 1. Summary This document summarizes who can approve which categories of spend and access. 2. Spend • ",False,True,Correct
25,Can I work abroad if I submit the request 2 days before leaving?,HR_Remote_Work_Policy,Reasoning,False,True,HR_Remote_Work_Policy.pdf,HR_Remote_Work_Policy.pdf|HR_Leave_and_Absence_Policy.pdf|Finance_Travel_Policy.pdf|Finance_Invoice_Processing_SOP.pdf|Finance_Expenses_Policy.pdf,True,True,True,"Based on HR_Remote_Work_Policy.pdf, HR Remote Work Policy Internal document • Version 1.0 • 2026-02-04 1. Purpose This policy defines how employees of SiftOps Labs may work remotely while maintaining ",False,True,Correct
26,What happens after a major incident occurs?,Security_Incident_Response_Playbook + Postmortem_Template_and_Guidelines,Reasoning,False,True,Security_Incident_Response_Playbook.pdf,Security_Incident_Response_Playbook.pdf|Eng_Oncall_Handbook.pdf|Eng_Deployment_Runbook.pdf|Postmortem_Template_and_Guidelines.pdf|Support_SLAs_and_Escalation.pdf,False,False,True,"Based on Security_Incident_Response_Playbook.pdf, Incident Response Playbook Internal document • Version 1.0 • 2026-02-04 1. Severity Incidents are classified from SEVI1 to SEVI4 based on customer imp",False,False,Retrieval Failure
27,How do I request leave?,HR_Leave_and_Absence_Policy,Ambiguous,False,True,HR_Leave_and_Absence_Policy.pdf,HR_Leave_and_Absence_Policy.pdf|HR_Remote_Work_Policy.pdf|IT_Onboarding_Offboarding_Runbook.pdf|Eng_Oncall_Handbook.pdf|Support_Triage_Playbook.pdf,True,True,True,"Based on HR_Leave_and_Absence_Policy.pdf, HR Leave and Absence Policy Internal document • Version 1.0 • 2026-02-04 1. Overview This policy outlines paid time off (PTO), sick leave, and leave of absenc",False,True,Correct
28,What access should contractors receive?,HR_Contractor_Policy,Ambiguous,False,True,HR_Contractor_Policy.pdf,HR_Contractor_Policy.pdf|Finance_Approval_Matrix.pdf|Security_Access_Control_Policy.pdf|Security_Data_Classification_Standard.pdf|Product_Roadmap_Q1_2026.pdf,True,True,True,"Based on HR_Contractor_Policy.pdf, Contractor Policy Internal document • Version 1.0 • 2026-02-04 1. Scope This policy covers onboarding, access, and confidentiality expectations for contractors. 2. A",False,True,Correct
29,How should employee information be handled?,Legal_GDPR_Employee_Data_Guide,Ambiguous,False,True,Legal_GDPR_Employee_Data_Guide.pdf,Legal_GDPR_Employee_Data_Guide.pdf|Legal_Privacy_Notice_Internal.pdf|HR_Employee_Handbook.pdf|Security_Data_Classification_Standard.pdf|HR_Code_of_Conduct.pdf,True,True,True,"Based on Legal_GDPR_Employee_Data_Guide.pdf, GDPR Guide for Employee Data Internal document • Version 1.0 • 2026-02-04 1. Principles • Lawfulness, fairness, transparency • Purpose limitation • Data mi",False,True,Correct
30,What should I do when reporting concerns?,HR_Code_of_Conduct,Ambiguous,False,True,Security_Incident_Response_Playbook.pdf,Security_Incident_Response_Playbook.pdf|HR_Anti_Harassment_Policy.pdf|HR_Code_of_Conduct.pdf|Eng_Deployment_Runbook.pdf|Support_Triage_Playbook.pdf,False,True,True,"Based on Security_Incident_Response_Playbook.pdf, Incident Response Playbook Internal document • Version 1.0 • 2026-02-04 1. Severity Incidents are classified from SEVI1 to SEVI4 based on customer imp",False,True,Semantic Mismatch
31,What is today's weather?,REFUSE,Refusal,True,True,Security_Data_Classification_Standard.pdf,Security_Data_Classification_Standard.pdf|Support_Triage_Playbook.pdf|Compliance_Audit_Readiness_Checklist.pdf|Finance_Budgeting_Playbook.pdf|Finance_Travel_Policy.pdf,False,False,True,I don't have enough information to answer this question.,True,False,Correct
32,Should I buy Tesla stock?,REFUSE,Refusal,True,True,Support_Triage_Playbook.pdf,Support_Triage_Playbook.pdf|HR_Performance_Review_Guidelines.pdf|Legal_Contracting_Playbook.pdf|Compliance_Audit_Readiness_Checklist.pdf|Finance_Invoice_Processing_SOP.pdf,False,False,True,I don't have enough information to answer this question.,True,False,Correct
33,Who won the World Cup?,REFUSE,Refusal,True,True,Compliance_Anti_Bribery_Policy.pdf,Compliance_Anti_Bribery_Policy.pdf|Finance_Approval_Matrix.pdf|Product_Roadmap_Q1_2026.pdf|HR_Benefits_Overview_2026.pdf|Finance_Procurement_Policy.pdf,False,False,True,I don't have enough information to answer this question.,True,False,Correct
34,What is OpenAI's valuation?,REFUSE,Refusal,True,True,Eng_Architecture_Overview.pdf,Eng_Architecture_Overview.pdf|Finance_Approval_Matrix.pdf|IT_Onboarding_Offboarding_Runbook.pdf|Product_Roadmap_Q1_2026.pdf|IT_Approved_SaaS_List.pdf,False,False,True,"Based on Eng_Architecture_Overview.pdf, Engineering Architecture Overview Internal document • Version 1.0 • 2026-02-04 1. Systems Our platform is composed of services for ingestion, indexing, retrieva",False,False,Refusal Failure
35,What will our revenue be next year?,REFUSE,Refusal,True,True,Finance_Budgeting_Playbook.pdf,Finance_Budgeting_Playbook.pdf|HR_Benefits_Overview_2026.pdf|Finance_Expenses_Policy.pdf|Finance_Vendor_Onboarding.pdf|Product_Roadmap_Q1_2026.pdf,False,False,True,"Based on Finance_Budgeting_Playbook.pdf, Budgeting Playbook Internal document • Version 1.0 • 2026-02-04 1. Cycle Budget planning runs quarterly with an annual reset. Departments submit forecasted spe",False,False,Refusal Failure
